horas_trabajo_totales,horas_visual,area,ciudad,etnia,condicion_actividad,empleo,desempleo,empleo_adecuado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,rama_instruccion,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia,ingreso_laboral,ingreso_per_capita
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,70.0,6.0,Casado(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,626.6666666666666
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,67.0,6.0,Casado(a),No,4.0,Humanidades y Artes,No realizó ninguna gestión,,,,,626.6666666666666
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,36.0,6.0,Soltero(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,10.0,940.0,626.6666666666666
10.0,10.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,68.0,6.0,Viudo(a),No,4.0,Educación,,,Cuenta Propia,30.0,80.0,230.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,38.0,6.0,Divorciado(a),No,9.0,Humanidades y Artes,,,Cuenta Propia,2.0,150.0,255.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,30.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,2.0,360.0,255.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,48.0,6.0,Viudo(a),No,6.0,Ciencias,,,Cuenta Propia,0.0,165.0,268.25
20.0,20.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,25.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,0.0,300.0,268.25
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,11.0,6.0,,Si,5.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,268.25
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,7.0,6.0,,Si,5.0,Humanidades y Artes,No realizó ninguna gestión,,,,,268.25
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,54.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,5.0,1500.0,633.3333333333334
16.0,16.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,39.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,400.0,633.3333333333334
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,19.0,6.0,Soltero(a),Si,9.0,Educación,No realizó ninguna gestión,,,,,633.3333333333334
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,56.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,300.0,382.8
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,55.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),2.0,470.0,382.8
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,35.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,3.0,940.0,382.8
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,23.0,6.0,Soltero(a),Si,9.0,Humanidades y Artes,No realizó ninguna gestión,,,,,382.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,382.8
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,58.0,6.0,Soltero(a),No,4.0,Educación,,,Cuenta Propia,4.0,130.0,57.5
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,30.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,2.0,60.0,57.5
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,1,28.0,6.0,Soltero(a),No,5.0,Salud y Bienestar,,,Cuenta Propia,2.0,40.0,57.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,14.0,6.0,Soltero(a),Si,5.0,Sin especificar,No realizó ninguna gestión,,,,,57.5
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,28.0,6.0,Casado(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,9.0,1760.0,440.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,26.0,6.0,Casado(a),No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,440.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,3.0,6.0,,,,Sin dato,,,,,,440.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,0.0,6.0,,,,Sin dato,,,,,,440.0
60.0,60.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,33.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,3.0,300.0,150.0
30.0,30.0,1,Cuenca,No hay dato,5.0,1.0,,,,2,62.0,6.0,Divorciado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",,,Trabajador del hogar no remunerado,3.0,,150.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,39.0,6.0,Casado(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,4.0,3060.0,765.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,39.0,6.0,Casado(a),No,10.0,Humanidades y Artes,No realizó ninguna gestión,,,,,765.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,9.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,765.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,3.0,6.0,,,,Sin dato,,,,,,765.0
20.0,20.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,47.0,6.0,Viudo(a),No,9.0,Ciencias,,,Empleado(a) Doméstico(a),3.0,940.0,720.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,24.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,0.0,500.0,720.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,78.0,6.0,Viudo(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,60.0,300.0,210.0
44.0,44.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,57.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,25.0,120.0,210.0
24.0,24.0,1,Cuenca,No hay dato,2.0,1.0,,,,1,70.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,25.0,90.0,145.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,70.0,6.0,Casado(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,145.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,49.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Patrono,35.0,300.0,122.4
49.0,49.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,46.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,4.0,100.0,122.4
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,22.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,6.0,200.0,122.4
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,17.0,6.0,Soltero(a),Si,7.0,Humanidades y Artes,No realizó ninguna gestión,,,,,122.4
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,122.4
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,27.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,3.0,1600.0,1600.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,25.0,6.0,Soltero(a),Si,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,2.0,1600.0,1600.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,41.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,8.0,1606.0,401.5
,0.0,1,Cuenca,No hay dato,7.0,,Población con desempleo,,,2,34.0,6.0,Casado(a),No,10.0,Humanidades y Artes,Buscar por Internet,Renuncia voluntaria,Empleado privado,,,401.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,6.0,6.0,,Si,5.0,Ninguna,No realizó ninguna gestión,,,,,401.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,4.0,6.0,,,,Sin dato,,,,,,401.5
20.0,20.0,1,Cuenca,No hay dato,2.0,1.0,,,,1,50.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,350.0,137.5
20.0,20.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,50.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Trabajador del hogar no remunerado,20.0,,137.5
,0.0,1,Cuenca,No hay dato,7.0,,Población con desempleo,,,1,25.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",Enviar hoja de vida,Fue mal en el negocio,Cuenta Propia,,,137.5
,0.0,1,Cuenca,No hay dato,7.0,,Población con desempleo,,,1,24.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",Buscar en la prensa o radio,Fue mal en el negocio,Cuenta Propia,,,137.5
16.0,16.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,48.0,6.0,Viudo(a),No,6.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),2.0,506.0,506.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,71.0,6.0,Soltero(a),No,9.0,Ciencias,No realizó ninguna gestión,,,,,1600.0
20.0,20.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,20.0,6.0,Unión libre,Si,7.0,"Cs. Sociales, Comercio y Derecho",,,Patrono,2.0,550.0,344.5
20.0,20.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,23.0,6.0,Unión libre,No,5.0,Tecnología,,,Cuenta Propia,4.0,420.0,344.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,344.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,8.0,6.0,,Si,5.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,344.5
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,69.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,820.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,71.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,820.0
50.0,50.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,56.0,6.0,Divorciado(a),No,10.0,Educación,,,Empleado privado,4.0,4100.0,3260.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,26.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,4.0,2420.0,3260.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,51.0,,Soltero(a),No,10.0,Educación,,,Empleado privado,20.0,2300.0,1250.0
4.0,4.0,1,Cuenca,No hay dato,2.0,1.0,,,,1,26.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Cuenta Propia,0.0,200.0,1250.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,48.0,6.0,Soltero(a),No,9.0,Ciencias,No realizó ninguna gestión,,,,,1400.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,73.0,6.0,Divorciado(a),No,10.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,47.0,1040.0,2540.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,55.0,6.0,Unión libre,No,10.0,Humanidades y Artes,,,Empleado de gobierno,15.0,2661.0,1407.0
44.0,44.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,50.0,6.0,Unión libre,No,10.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,18.0,1560.0,1407.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,7.0,6.0,,Si,5.0,Humanidades y Artes,No realizó ninguna gestión,,,,,1407.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,65.0,6.0,Divorciado(a),No,9.0,Humanidades y Artes,No realizó ninguna gestión,,,,,680.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,35.0,6.0,Casado(a),No,10.0,Educación,,,Empleado privado,2.0,4120.0,3060.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,31.0,6.0,Casado(a),No,9.0,Ciencias,,,Empleado privado,5.0,2000.0,3060.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,91.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,250.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,82.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,250.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,72.0,6.0,Casado(a),No,9.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,426.6666666666667
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,60.0,6.0,Casado(a),No,9.0,Ciencias,No realizó ninguna gestión,,,,,426.6666666666667
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,18.0,6.0,Soltero(a),Si,9.0,Educación,No realizó ninguna gestión,,,,,426.6666666666667
10.0,10.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,64.0,6.0,Casado(a),No,10.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,37.0,250.0,1490.0
10.0,10.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,59.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Patrono,20.0,1400.0,1490.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,34.0,6.0,Soltero(a),No,1.0,Sin dato,No realizó ninguna gestión,,,,,1490.0
,0.0,1,Cuenca,No hay dato,7.0,,Población con desempleo,,,1,26.0,6.0,Soltero(a),No,9.0,Ciencias,Buscar por Internet,Renuncia voluntaria,Empleado privado,,,1490.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,66.0,6.0,Viudo(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,432.85714285714283
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,44.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,20.0,615.0,432.85714285714283
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,32.0,6.0,Separado(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,3.0,940.0,432.85714285714283
20.0,20.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,35.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),3.0,570.0,432.85714285714283
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,21.0,6.0,Soltero(a),Si,9.0,Humanidades y Artes,No realizó ninguna gestión,,,,,432.85714285714283
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,18.0,6.0,Soltero(a),Si,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,432.85714285714283
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,15.0,6.0,Soltero(a),Si,5.0,Tecnología,No realizó ninguna gestión,,,,,432.85714285714283
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,51.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,30.0,1700.0,607.0
20.0,20.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,48.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Cuenta Propia,25.0,470.0,607.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,28.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,5.0,600.0,607.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,26.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Cuenta Propia,8.0,260.0,607.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,9.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,607.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,83.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,600.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,84.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,600.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,20.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,1.0,940.0,940.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,80.0,6.0,Separado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,300.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,38.0,6.0,Casado(a),Si,7.0,Humanidades y Artes,,,Jornalero o peón,2.0,750.0,192.6
20.0,20.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,36.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),12.0,200.0,192.6
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,18.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,192.6
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,9.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,192.6
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,7.0,6.0,,Si,5.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,192.6
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,38.0,6.0,Divorciado(a),No,4.0,Agricultura y Veterinaria,,,Empleado privado,3.0,301.0,95.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,14.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,95.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,95.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,8.0,6.0,,Si,5.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,95.8
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,6.0,6.0,,Si,5.0,Educación,No realizó ninguna gestión,,,,,95.8
84.0,84.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,34.0,6.0,Unión libre,No,6.0,Agricultura y Veterinaria,,,Empleado privado,11.0,724.0,360.6
60.0,60.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,37.0,6.0,Unión libre,No,4.0,Agricultura y Veterinaria,,,Empleado privado,14.0,1067.0,360.6
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,15.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,360.6
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,14.0,6.0,Soltero(a),Si,5.0,Tecnología,No realizó ninguna gestión,,,,,360.6
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,11.0,6.0,,Si,5.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,360.6
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,67.0,6.0,Divorciado(a),No,9.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,1000.0
40.0,40.0,1,Cuenca,No hay dato,5.0,1.0,,,,2,35.0,6.0,Unión libre,No,9.0,"Ingeniería, Industria y Construcción",,,Trabajador del hogar no remunerado,0.0,,413.5
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,39.0,6.0,Unión libre,No,9.0,"Ingeniería, Industria y Construcción",,,Patrono,2.0,1000.0,413.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Salud y Bienestar,No realizó ninguna gestión,,,,,413.5
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,14.0,6.0,Soltero(a),Si,5.0,Sin especificar,No realizó ninguna gestión,,,,,413.5
,0.0,1,Cuenca,No hay dato,7.0,,Población con desempleo,,,2,32.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,Enviar hoja de vida,Renuncia voluntaria,Empleado privado,,,61.666666666666664
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,61.666666666666664
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,5.0,6.0,,Si,5.0,Ninguna,No realizó ninguna gestión,,,,,61.666666666666664
32.0,32.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,57.0,6.0,Divorciado(a),Si,5.0,Sin especificar,,,Cuenta Propia,30.0,220.0,110.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,110.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,64.0,6.0,Divorciado(a),No,4.0,Ciencias,No realizó ninguna gestión,,,,,160.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,46.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,236.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,51.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Patrono,20.0,308.0,236.0
40.0,40.0,1,Cuenca,No hay dato,4.0,1.0,,,,1,24.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,7.0,400.0,236.0
50.0,50.0,1,Cuenca,No hay dato,4.0,1.0,,,,2,67.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,,,Cuenta Propia,30.0,340.0,110.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,41.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,110.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,21.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,110.0
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,12.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,110.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,35.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,1.0,600.0,170.4
40.0,40.0,1,Cuenca,No hay dato,2.0,1.0,,,,2,36.0,6.0,Casado(a),No,4.0,Agricultura y Veterinaria,,,Empleado(a) Doméstico(a),8.0,240.0,170.4
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,16.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,170.4
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,14.0,6.0,Soltero(a),Si,5.0,Sin especificar,No realizó ninguna gestión,,,,,170.4
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,170.4
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,77.0,6.0,Soltero(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,575.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,81.0,6.0,Soltero(a),No,4.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,575.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,53.0,6.0,Casado(a),No,4.0,Educación,No realizó ninguna gestión,,,,,268.57142857142856
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,56.0,6.0,Casado(a),No,4.0,Ciencias,,,Empleado privado,30.0,940.0,268.57142857142856
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,28.0,6.0,Casado(a),No,7.0,"Cs. Sociales, Comercio y Derecho",,,Empleado privado,3.0,940.0,268.57142857142856
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,20.0,6.0,Soltero(a),No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,268.57142857142856
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,13.0,6.0,Soltero(a),Si,5.0,Servicios,No realizó ninguna gestión,,,,,268.57142857142856
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,24.0,6.0,Casado(a),No,7.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,268.57142857142856
,0.0,1,Cuenca,No hay dato,0.0,,,,,2,2.0,6.0,,,,Sin dato,,,,,,268.57142857142856
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,27.0,6.0,Soltero(a),Si,9.0,"Cs. Sociales, Comercio y Derecho",No realizó ninguna gestión,,,,,256.6666666666667
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,26.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",No realizó ninguna gestión,,,,,256.6666666666667
48.0,48.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,32.0,6.0,Soltero(a),No,9.0,"Ingeniería, Industria y Construcción",,,Empleado privado,0.0,470.0,256.6666666666667
48.0,48.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,31.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Empleado privado,10.0,1265.0,254.2
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,31.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,254.2
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,10.0,6.0,,Si,5.0,Ciencias,No realizó ninguna gestión,,,,,254.2
,0.0,1,Cuenca,No hay dato,0.0,,,,,1,6.0,6.0,,Si,5.0,Humanidades y Artes,No realizó ninguna gestión,,,,,254.2
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,61.0,6.0,Soltero(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,254.2
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,86.0,6.0,Viudo(a),No,4.0,Agricultura y Veterinaria,No realizó ninguna gestión,,,,,193.33333333333334
,0.0,1,Cuenca,No hay dato,9.0,,,,,2,51.0,6.0,Soltero(a),No,9.0,Ciencias,No realizó ninguna gestión,,,,,193.33333333333334
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,16.0,6.0,Soltero(a),Si,7.0,Educación,No realizó ninguna gestión,,,,,193.33333333333334
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,1,46.0,6.0,Casado(a),No,6.0,Agricultura y Veterinaria,,,Empleado de gobierno,20.0,576.0,516.0
40.0,40.0,1,Cuenca,No hay dato,1.0,1.0,,1.0,,2,49.0,6.0,Casado(a),No,10.0,Humanidades y Artes,,,Empleado privado,20.0,2004.0,516.0
,0.0,1,Cuenca,No hay dato,9.0,,,,,1,24.0,6.0,Soltero(a),Si,9.0,Educación,No realizó ninguna gestión,,,,,516.0
