Value;Category
130352;Canuto
80557;Mataje
10559;San cristobal
10357;San juan
10353;Jadan
10164;Santa ana
220152;Taracoa
190852;San francisco de vergel
170178;Puellaro
140553;Patuca
130550;Flavio alfaro
120252;Isla de bejucal
111450;Pindal
111353;Limones
111159;Urdaneta (paquishapa)
111154;Manu
100354;Peñaherrera
91452;Sabanilla
90656;Los lojas
90551;San jacinto
71355;Huertas
71053;Moromoro
70954;Progreso
70850;Marcabeli
60954;San antonio de bayushig
50553;Mulalillo
50552;Cusubamba
40551;Cristobal colon
20555;Santiago
230155;Valle hermoso
230152;Puerto limon
220455;San vicente de huaticocha
180757;Guambalo (huambalo)
180151;Ambatillo
160166;El triunfo
160157;Pomona
140750;Huamboya
131652;Noboa
131352;Honorato vasquez
120553;San carlos
111650;Olmedo
111251;Nueva fatima
111160;Sumaypamba
110952;Guachanama
110753;Nambacola
110351;El tambo
110161;Vilcabamba (victoria)
80252;Atahualpa
71359;Salvias
71254;San antonio
71252;Jambeli
70953;La peaña
20554;San pablo
20351;Asuncion (asancoto)
10554;El cabo
10453;Las nieves (chaya)
10161;Quingeo
190850;Palanda
190553;Los encuentros
190450;28 de mayo
190158;San carlos de las minas
180951;Quinchicoto
180158;Montalvo
170551;Cotogchoa
131152;San sebastian
130658;Puerto de cayo
111550;Quilanga
110163;Quinara
110157;San lucas
100353;Imantag
92055;Yaguachi viejo (cone)
91952;La victoria (ñauza)
90852;El rosario
80560;Tambillo
60259;Sibambe
60160;San juan
50555;Pansaleo
40161;Santa martha de cuba
30355;Honorato vasquez
30251;Nazon
20158;Santafe (santa fe)
10951;Cuchil
10853;Zhaglli
10850;Santa isabel
10155;Chiquintad
240156;San jose de ancon
220351;Enokanqui
210454;San pedro de los cofanes
180857;San miguelito
180756;Garcia moreno (chumaqui)
180755;El rosario (rumichaca)
180751;Benitez (pachanlica)
170351;Aloag
150455;Sardinas
132150;Jaramijo
130852;Santa marianita
130353;Convento
110656;El airo
110651;Bellavista
100552;Mariano acosta
100458;San rafael
100453;Gonzalez suarez
100452;Eugenio espejo (calpaqui)
92056;Virgen de fatima
91953;Junquillal
90157;Puna
80752;Chumunde
80653;Tonchigue
71353;Guanazan
71051;Capiro
60652;Palmira
50752;Isinlivi
50653;Cochapamba
50651;Canchagua
40554;La paz
20750;Las naves
20155;Salinas
11351;Amaluza
10358;Zhidmad
220358;Union milagreña
220353;San carlos
200152;Isla santa maria (floreana)
190251;Chito
180167;Cunchibamba
170355;Manuel cornejo astorga
170171;Nono
160163;Tarqui
150950;Carlos julio arosemena tola
141250;Tiwintza
130451;Wilfrido loor moreira
130357;San antonio
110550;Chaguarpamba
110456;Sabanilla
100455;San jose de quichinche
100252;San francisco de natabue
100156;Salinas
100151;Ambuqui
92850;Isidro ayora
91152;San carlos
80262;Colon eloy del maria
60354;Santiago de quito
40251;Garcia moreno
20355;Telimbela
10354;Mariano moreno
10160;Paccha
230156;El esfuerzo
