horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Mujer,4.0, Ninguno,,,,,,,
20.0, Urbana,Cuenca,,2.0,,,Persona 1, Hombre,50.0, Ninguno, Casado(a), No,6.0,,,6,20.0
20.0, Urbana,Cuenca,,2.0,,,Persona 2, Mujer,50.0, Ninguno, Casado(a), No,6.0,,,7,20.0
, Urbana,Cuenca,,7.0,,1.0,Persona 3, Hombre,25.0, Ninguno, Soltero(a), No,, Enviar hoja de vida, Fue mal en el negocio,6,
, Urbana,Cuenca,,7.0,,1.0,Persona 4, Hombre,24.0, Ninguno, Soltero(a), No,9.0, Buscar en la prensa o radio, Fue mal en el negocio,6,
16.0, Urbana,Cuenca,,2.0,,,Persona 1, Mujer,48.0, Ninguno, Viudo(a), No,6.0,,,10,2.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,71.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
20.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,20.0, Ninguno, Unión libre, Si,,,,5,2.0
20.0, Urbana,Cuenca,,4.0,,,Persona 2, Mujer,23.0, Ninguno, Unión libre, No,5.0,,,6,4.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,12.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,8.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,69.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,71.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
