horas_trabajo_totales,area,ciudad,etnia,condicion_actividad,empleo_adecuado,desempleado,personas_hogar,genero,edad,seguro,estado_civil,asiste_a_clases,nivel_educativo,como_busca_empleo,razon_dejo_trabajo,ocupacion_actual,tiempo_experiencia
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,53.0, Ninguno, Casado(a), No,6.0,,,2,15.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,54.0, Ninguno, Casado(a), No,6.0,,,2,8.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,23.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
20.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,54.0, Ninguno, Unión libre, No,6.0,,,10,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,50.0, Ninguno, Unión libre, Si,,,,4,20.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,17.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,52.0, Ninguno, Separado(a), No,4.0, No realizó ninguna gestión,,,
65.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,30.0, Ninguno, Unión libre, No,9.0,,,2,4.0
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,0.0, Ninguno,,,,,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,25.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
30.0, Urbana,Cuenca,,2.0,,,Persona 1, Mujer,45.0, Ninguno, Viudo(a), No,4.0,,,2,4.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,25.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,27.0, Ninguno, Unión libre, No,5.0,,,2,6.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,27.0, Ninguno, Unión libre, No,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,8.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Hombre,3.0, Ninguno,,,,,,,
50.0, Urbana,Cuenca,,1.0,1.0,,Persona 6, Hombre,20.0, Ninguno, Soltero(a), No,,,,2,2.0
, Urbana,Cuenca,,0.0,,,Persona 7, Mujer,12.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
45.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,44.0, Ninguno, Casado(a), No,6.0,,,6,1.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,44.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Mujer,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 5, Hombre,23.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,31.0, Ninguno, Casado(a), No,6.0,,,2,10.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,31.0, Ninguno, Casado(a), No,6.0,,,2,5.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,7.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
50.0, Urbana,Cuenca,,4.0,,,Persona 1, Mujer,56.0, Ninguno, Soltero(a), No,4.0,,,2,40.0
, Urbana,Cuenca,,9.0,,,Persona 2, Hombre,96.0, Ninguno, Viudo(a), No,4.0, No realizó ninguna gestión,,,
50.0, Urbana,Cuenca,,4.0,,,Persona 3, Mujer,71.0, Ninguno, Soltero(a), No,4.0,,,2,50.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,78.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,77.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,88.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,84.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,61.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 4, Mujer,60.0, Ninguno, Soltero(a), No,9.0,,,2,24.0
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,86.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,84.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Mujer,47.0, Ninguno, Soltero(a), No,9.0,,,1,7.0
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,16.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,7.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,80.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,57.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Mujer,23.0, Ninguno, Soltero(a), No,9.0,,,2,0.0
48.0, Urbana,Cuenca,,2.0,,,Persona 1, Hombre,49.0, Ninguno, Casado(a), No,4.0,,,6,4.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,49.0, Ninguno, Casado(a), No,4.0,,,6,15.0
10.0, Urbana,Cuenca,,5.0,,,Persona 3, Mujer,19.0, Ninguno, Soltero(a), Si,9.0,,,7,1.0
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,16.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,60.0, Ninguno, Casado(a), No,6.0,,,2,30.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,59.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,7.0,,1.0,Persona 3, Mujer,25.0, Ninguno, Soltero(a), No,9.0, Asistir a entrevistas,,,
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,20.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,70.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Hombre,73.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,79.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,66.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,49.0, Ninguno, Casado(a), No,10.0,,,1,20.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 4, Mujer,45.0, Ninguno, Casado(a), No,10.0,,,1,22.0
45.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,26.0, Ninguno, Soltero(a), Si,,,,2,0.0
45.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,35.0, Ninguno, Casado(a), No,9.0,,,5,8.0
30.0, Urbana,Cuenca,,4.0,,,Persona 2, Mujer,30.0, Ninguno, Casado(a), Si,9.0,,,6,5.0
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,3.0, Ninguno,,,,,,,
35.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,46.0, Ninguno, Divorciado(a), No,6.0,,,2,25.0
7.0, Urbana,Cuenca,,2.0,,,Persona 2, Hombre,23.0, Ninguno, Soltero(a), Si,9.0,,,2,6.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,20.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,13.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,32.0, Ninguno, Viudo(a), Si,9.0,,,2,5.0
40.0, Urbana,Cuenca,,2.0,,,Persona 1, Hombre,64.0, Ninguno, Casado(a), No,9.0,,,6,25.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,63.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,24.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,69.0, Ninguno, Separado(a), No,6.0,,,6,40.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,31.0, Ninguno, Soltero(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,66.0, Ninguno, Casado(a), No,10.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,65.0, Ninguno, Casado(a), No,10.0, No realizó ninguna gestión,,,
63.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,32.0, Ninguno, Casado(a), No,9.0,,,5,8.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,48.0, Ninguno, Divorciado(a), No,9.0,,,10,20.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,25.0, Ninguno, Soltero(a), No,9.0,,,2,0.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,20.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,66.0, Ninguno, Soltero(a), No,6.0, No realizó ninguna gestión,,,
66.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,68.0, Ninguno, Viudo(a), No,6.0,,,6,50.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,60.0, Ninguno, Viudo(a), No,6.0,,,5,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Mujer,24.0, Ninguno, Soltero(a), No,9.0,,,2,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,64.0, Ninguno, Soltero(a), No,6.0,,,2,10.0
30.0, Urbana,Cuenca,,4.0,,,Persona 2, Mujer,65.0, Ninguno, Soltero(a), No,6.0,,,6,10.0
30.0, Urbana,Cuenca,,2.0,,,Persona 3, Hombre,55.0, Ninguno, Divorciado(a), No,6.0,,,6,12.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Mujer,59.0, Ninguno, Divorciado(a), No,9.0,,,5,30.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,28.0, Ninguno, Soltero(a), Si,9.0,,,2,4.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,86.0, Ninguno, Viudo(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,74.0, Ninguno, Divorciado(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,53.0, Ninguno, Soltero(a), No,10.0,,,1,15.0
35.0, Urbana,Cuenca,,2.0,,,Persona 3, Mujer,50.0, Ninguno, Soltero(a), No,9.0,,,6,20.0
16.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,66.0, Ninguno, Casado(a), No,6.0,,,6,6.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,63.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
48.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,37.0, Ninguno, Soltero(a), No,9.0,,,2,2.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,30.0, Ninguno, Unión libre, No,9.0,,,2,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,24.0, Ninguno, Unión libre, Si,9.0,,,2,0.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Mujer,30.0, Ninguno, Soltero(a), No,9.0,,,2,9.0
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,70.0, Ninguno, Separado(a), No,4.0, No realizó ninguna gestión,,,
10.0, Urbana,Cuenca,,5.0,,,Persona 1, Mujer,68.0, Ninguno, Casado(a), No,6.0,,,8,1.0
, Urbana,Cuenca,,9.0,,,Persona 2, Hombre,67.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,37.0, Ninguno, Casado(a), No,6.0,,,2,17.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,36.0, Ninguno, Casado(a), No,9.0,,,2,12.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,17.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Mujer,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,2.0, Ninguno,,,,,,,
55.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,38.0, Ninguno, Unión libre, No,9.0,,,5,10.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,38.0, Ninguno, Unión libre, No,9.0,,,2,6.0
, Urbana,Cuenca,,0.0,,,Persona 3, Hombre,9.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Hombre,2.0, Ninguno,,,,,,,
, Urbana,Cuenca,,7.0,,1.0,Persona 1, Hombre,52.0, Ninguno, Casado(a), No,9.0, Enviar hoja de vida, Terminación contrato,2,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,50.0, Ninguno, Casado(a), No,9.0,,,6,5.0
, Urbana,Cuenca,,9.0,,,Persona 3, Mujer,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 4, Mujer,18.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Hombre,75.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,71.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,46.0, Ninguno, Divorciado(a), No,6.0,,,1,20.0
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,77.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 1, Mujer,88.0, Ninguno, Viudo(a), No,6.0, No realizó ninguna gestión,,,
45.0, Urbana,Cuenca,,4.0,,,Persona 1, Hombre,59.0, Ninguno, Viudo(a), No,9.0,,,6,30.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Mujer,25.0, Ninguno, Soltero(a), No,9.0,,,2,3.0
45.0, Urbana,Cuenca,,1.0,1.0,,Persona 3, Hombre,23.0, Ninguno, Soltero(a), No,8.0,,,6,2.0
40.0, Urbana,Cuenca,,2.0,,,Persona 1, Mujer,42.0, Ninguno, Casado(a), No,6.0,,,6,2.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 2, Hombre,41.0, Ninguno, Casado(a), No,6.0,,,2,22.0
, Urbana,Cuenca,,9.0,,,Persona 3, Hombre,17.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Cuenca,,9.0,,,Persona 4, Hombre,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,33.0, Ninguno, Soltero(a), No,9.0,,,2,1.0
40.0, Urbana,Cuenca,,1.0,1.0,,Persona 1, Hombre,46.0, Ninguno, Casado(a), No,6.0,,,2,10.0
, Urbana,Cuenca,,9.0,,,Persona 2, Mujer,39.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 3, Mujer,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 4, Mujer,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cuenca,,0.0,,,Persona 5, Mujer,2.0, Ninguno,,,,,,,
20.0, Urbana,Cumbe,,4.0,,,Persona 1, Mujer,60.0, Ninguno, Casado(a), No,4.0,,,6,25.0
20.0, Urbana,Cumbe,,5.0,,,Persona 2, Hombre,63.0, Ninguno, Casado(a), No,4.0,,,7,25.0
, Urbana,Cumbe,,0.0,,,Persona 3, Hombre,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cumbe,,0.0,,,Persona 4, Mujer,8.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Cumbe,,4.0,,,Persona 1, Mujer,41.0, Ninguno, Soltero(a), No,4.0,,,4,10.0
40.0, Urbana,Cumbe,,1.0,1.0,,Persona 2, Hombre,23.0, Ninguno, Soltero(a), No,,,,2,4.0
, Urbana,Cumbe,,0.0,,,Persona 3, Mujer,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
, Urbana,Cumbe,,9.0,,,Persona 1, Mujer,69.0, Ninguno, Viudo(a), No,1.0, No realizó ninguna gestión,,,
40.0, Urbana,Cumbe,,4.0,,,Persona 1, Hombre,49.0, Ninguno, Casado(a), No,6.0,,,2,10.0
25.0, Urbana,Cumbe,,4.0,,,Persona 2, Mujer,53.0, Ninguno, Casado(a), No,4.0,,,6,30.0
, Urbana,Cumbe,,9.0,,,Persona 3, Mujer,22.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cumbe,,9.0,,,Persona 4, Hombre,15.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
20.0, Urbana,Cumbe,,4.0,,,Persona 1, Mujer,59.0, Ninguno, Divorciado(a), No,4.0,,,6,40.0
20.0, Urbana,Cumbe,,2.0,,,Persona 2, Mujer,30.0, Ninguno, Soltero(a), No,,,,7,5.0
, Urbana,Cumbe,,0.0,,,Persona 3, Hombre,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
30.0, Urbana,Cumbe,,4.0,,,Persona 1, Hombre,83.0, Ninguno, Casado(a), No,4.0,,,6,50.0
, Urbana,Cumbe,,9.0,,,Persona 2, Mujer,79.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Cumbe,,1.0,1.0,,Persona 1, Hombre,80.0, Ninguno, Casado(a), No,4.0,,,6,40.0
20.0, Urbana,Cumbe,,4.0,,,Persona 2, Mujer,82.0, Ninguno, Casado(a), No,1.0,,,6,55.0
40.0, Urbana,Cumbe,,5.0,,,Persona 3, Hombre,44.0, Ninguno, Soltero(a), No,4.0,,,7,2.0
40.0, Urbana,Cumbe,,4.0,,,Persona 4, Mujer,39.0, Ninguno, Soltero(a), No,4.0,,,6,2.0
, Urbana,Cumbe,,9.0,,,Persona 5, Hombre,24.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Cumbe,,9.0,,,Persona 6, Hombre,19.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
40.0, Urbana,Ricaurte,,1.0,1.0,,Persona 1, Hombre,45.0, Ninguno, Casado(a), No,10.0,,,2,16.0
, Urbana,Ricaurte,,9.0,,,Persona 2, Mujer,46.0, Ninguno, Casado(a), No,9.0, No realizó ninguna gestión,,,
, Urbana,Ricaurte,,9.0,,,Persona 3, Hombre,16.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,Ricaurte,,9.0,,,Persona 4, Mujer,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,Ricaurte,,1.0,1.0,,Persona 1, Hombre,51.0, Ninguno, Casado(a), No,10.0,,,2,26.0
40.0, Urbana,Ricaurte,,1.0,1.0,,Persona 2, Mujer,50.0, Ninguno, Casado(a), No,8.0,,,2,14.0
, Urbana,Ricaurte,,9.0,,,Persona 3, Hombre,21.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
, Urbana,Ricaurte,,0.0,,,Persona 4, Hombre,14.0, Ninguno, Soltero(a), Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,Ricaurte,,1.0,1.0,,Persona 1, Hombre,71.0, Ninguno, Casado(a), No,6.0,,,6,30.0
, Urbana,Ricaurte,,9.0,,,Persona 2, Mujer,71.0, Ninguno, Casado(a), No,6.0, No realizó ninguna gestión,,,
, Urbana,Ricaurte,,9.0,,,Persona 1, Mujer,94.0, Ninguno, Viudo(a), No,4.0, No realizó ninguna gestión,,,
40.0, Urbana,Ricaurte,,1.0,1.0,,Persona 1, Mujer,32.0, Ninguno, Divorciado(a), No,10.0,,,1,8.0
, Urbana,Ricaurte,,0.0,,,Persona 2, Hombre,10.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
48.0, Urbana,Ricaurte,,4.0,,,Persona 1, Mujer,51.0, Ninguno, Soltero(a), No,9.0,,,5,25.0
, Urbana,Ricaurte,,9.0,,,Persona 2, Mujer,22.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 1, Hombre,65.0, Ninguno, Casado(a), No,6.0,,,6,30.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 2, Mujer,55.0, Ninguno, Casado(a), No,6.0,,,5,15.0
40.0, Urbana,San joaquin,,4.0,,,Persona 3, Hombre,34.0, Ninguno, Soltero(a), No,6.0,,,6,6.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 4, Hombre,31.0, Ninguno, Soltero(a), No,9.0,,,6,2.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 5, Hombre,28.0, Ninguno, Soltero(a), No,9.0,,,1,1.0
, Urbana,San joaquin,,9.0,,,Persona 6, Mujer,19.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
, Urbana,San joaquin,,0.0,,,Persona 7, Hombre,11.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 1, Hombre,48.0, Ninguno, Casado(a), No,6.0,,,6,32.0
20.0, Urbana,San joaquin,,4.0,,,Persona 2, Mujer,48.0, Ninguno, Casado(a), No,9.0,,,6,1.0
, Urbana,San joaquin,,9.0,,,Persona 3, Hombre,22.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
, Urbana,San joaquin,,0.0,,,Persona 4, Mujer,8.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
40.0, Urbana,San joaquin,,4.0,,,Persona 1, Mujer,78.0, Ninguno, Divorciado(a), No,4.0,,,6,25.0
40.0, Urbana,San joaquin,,4.0,,,Persona 2, Hombre,36.0, Ninguno, Soltero(a), No,4.0,,,2,4.0
40.0, Urbana,San joaquin,,4.0,,,Persona 1, Mujer,72.0, Ninguno, Divorciado(a), No,4.0,,,6,15.0
40.0, Urbana,San joaquin,,4.0,,,Persona 1, Mujer,68.0, Ninguno, Divorciado(a), No,4.0,,,6,1.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 1, Hombre,43.0, Ninguno, Casado(a), No,6.0,,,4,20.0
, Urbana,San joaquin,,9.0,,,Persona 2, Mujer,45.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
, Urbana,San joaquin,,9.0,,,Persona 3, Mujer,25.0, Ninguno, Divorciado(a), No,9.0, No realizó ninguna gestión,,,
40.0, Urbana,San joaquin,,4.0,,,Persona 4, Hombre,24.0, Ninguno, Soltero(a), No,,,,4,1.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 5, Hombre,19.0, Ninguno, Soltero(a), No,,,,4,1.0
, Urbana,San joaquin,,0.0,,,Persona 6, Hombre,6.0, Ninguno,, Si,5.0, No realizó ninguna gestión,,,
, Urbana,San joaquin,,9.0,,,Persona 7, Mujer,22.0, Ninguno, Soltero(a), Si,9.0, No realizó ninguna gestión,,,
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 1, Hombre,52.0, Ninguno, Casado(a), No,4.0,,,6,8.0
40.0, Urbana,San joaquin,,4.0,,,Persona 2, Mujer,50.0, Ninguno, Casado(a), No,4.0,,,6,4.0
40.0, Urbana,San joaquin,,1.0,1.0,,Persona 3, Hombre,25.0, Ninguno, Soltero(a), No,,,,2,2.0
, Urbana,San joaquin,,9.0,,,Persona 4, Mujer,18.0, Ninguno, Soltero(a), Si,, No realizó ninguna gestión,,,
44.0, Rural,Sayausi,,4.0,,,Persona 1, Hombre,54.0, Ninguno, Casado(a), No,6.0,,,6,20.0
, Rural,Sayausi,,9.0,,,Persona 2, Mujer,52.0, Ninguno, Casado(a), No,4.0, No realizó ninguna gestión,,,
40.0, Rural,Sayausi,,1.0,1.0,,Persona 3, Hombre,26.0, Ninguno, Soltero(a), No,9.0,,,1,3.0
, Rural,Sayausi,,9.0,,,Persona 1, Mujer,85.0, Ninguno, Soltero(a), No,4.0, No realizó ninguna gestión,,,
, Rural,Sayausi,,9.0,,,Persona 1, Mujer,67.0, Ninguno, Casado(a), No,8.0, No realizó ninguna gestión,,,
40.0, Rural,Sayausi,,1.0,1.0,,Persona 2, Hombre,60.0, Ninguno, Casado(a), No,10.0,,,6,36.0
40.0, Rural,Sayausi,,1.0,1.0,,Persona 1, Mujer,53.0, Ninguno, Soltero(a), No,10.0,,,1,20.0
35.0, Rural,Sayausi,,4.0,,,Persona 1, Hombre,57.0, Ninguno, Casado(a), No,6.0,,,6,40.0
48.0, Rural,Sayausi,,1.0,1.0,,Persona 2, Mujer,53.0, Ninguno, Casado(a), No,4.0,,,6,6.0
, Rural,Sayausi,,9.0,,,Persona 3, Mujer,19.0, Ninguno, Soltero(a), No,, No realizó ninguna gestión,,,
, Rural,Sayausi,,9.0,,,Persona 1, Mujer,59.0, Ninguno, Soltero(a), No,4.0, No realizó ninguna gestión,,,
